"method","strat","array","prob","SE","df","asymp.LCL","asymp.UCL"
"raw","id_hid","ALL",0.07873773679285,0.00125246421555105,Inf,0.0763176834404165,0.0812277821680235
"ml","id_hid","ALL",0.01530163879195,0.00052602468399261,Inf,0.0143041215299135,0.0163675641663258
"gm","id_hid","ALL",0.0289175463172485,0.000732300782218836,Inf,0.0275163069688902,0.0303879125898742
"ber_s","id_hid","ALL",0.0787377367928495,0.00125246421555104,Inf,0.076317683440416,0.081227782168023
"ber_p","id_hid","ALL",0.0765894344803435,0.00123371007599672,Inf,0.0742061407254378,0.0790427377051242
"mc","id_hid","ALL",0.0445149740446075,0.000920307616485634,Inf,0.0427456463895237,0.0463539913310553
"z","id_hid","ALL",0.0566203557540523,0.00104720709468728,Inf,0.0546024944794996,0.0587081572764713
"original","id_hid","ALL",0.386571761528741,0.00278455388960832,Inf,0.381128586103973,0.392043429374303
"pagerank","id_hid","ALL",0.0212106573684801,0.00062282760646111,Inf,0.0200236955997962,0.0224663666423661
"random","id_hid","ALL",0.0117066803975513,0.000458396027265683,Inf,0.01084148236525,0.0126400427248885
"raw","id_all","ALL",0.279238177989046,0.00244431619083646,Inf,0.274472673456559,0.284054029026487
"ml","id_all","ALL",0.054122431675979,0.0010220407526707,Inf,0.0521538652731297,0.0561608997194407
"gm","id_all","ALL",0.110997179532091,0.0015112492560242,Inf,0.108069589957189,0.113993941060407
"ber_s","id_all","ALL",0.217071387033414,0.00216310447826572,Inf,0.212861710096824,0.221340906491566
"ber_p","id_all","ALL",0.290062740545157,0.0024867613071344,Inf,0.285213101684107,0.294960812494578
"mc","id_all","ALL",0.170984273545258,0.00191005189625905,Inf,0.167273104254118,0.17476050021149
"z","id_all","ALL",0.19405075296975,0.00204180798585231,Inf,0.190080183871029,0.198083977909013
"original","id_all","ALL",0.4339517624993,0.00287890457338233,Inf,0.428318008456975,0.439602636781986
"pagerank","id_all","ALL",0.0616273459223825,0.00109628324016683,Inf,0.0595133461024325,0.0638113431025645
"random","id_all","ALL",0.0192831789913302,0.000592782313006241,Inf,0.0181550199611005,0.0204799799221917
